,age,c_charge_desc,c_charge_degree,c_days_from_compas,is_recid,juv_fel_count,juv_misd_count,juv_other_count,priors_count,r_days_from_arrest,race,sex,vr_charge_desc
35,25,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,3,0.0,African-American,Male,na
36,25,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,3,0.0,African-American,Male,na
37,31,Driving While License Revoked,1,1.0,1,0,0,0,6,0.0,Caucasian,Male,Kidnapping (Facilitate Felony)
38,31,Possession Of Heroin,1,1.0,1,0,0,0,5,1.0,Caucasian,Male,na
39,31,Possession Of Heroin,1,1.0,1,0,0,0,5,1.0,Caucasian,Male,na
40,31,Possession Of Heroin,1,1.0,1,0,0,0,5,1.0,Caucasian,Male,na
41,64,arrest case no charge,1,1.0,1,0,0,0,13,0.0,African-American,Male,na
42,64,arrest case no charge,1,1.0,1,0,0,0,13,0.0,African-American,Male,na
43,64,arrest case no charge,1,1.0,1,0,0,0,13,0.0,African-American,Male,na
44,21,Battery on Law Enforc Officer,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
45,21,Battery on Law Enforc Officer,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
46,21,Battery on Law Enforc Officer,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
47,21,Battery on Law Enforc Officer,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
48,21,Battery on Law Enforc Officer,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
49,21,Battery on Law Enforc Officer,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
50,27,Possession Of Methamphetamine,1,0.0,1,0,0,0,0,0.0,Caucasian,Male,na
51,21,Introduce Contraband Into Jail,1,2.0,0,0,0,0,0,0.0,Caucasian,Female,na
52,24,Poss Pyrrolidinovalerophenone,1,0.0,1,0,0,0,2,0.0,African-American,Male,na
53,24,Poss Pyrrolidinovalerophenone,1,0.0,1,0,0,0,2,0.0,African-American,Male,na
54,24,Poss Pyrrolidinovalerophenone,1,0.0,1,0,0,0,2,0.0,African-American,Male,na
55,24,Poss Pyrrolidinovalerophenone,1,0.0,1,0,0,0,2,0.0,African-American,Male,na
56,24,Poss Pyrrolidinovalerophenone,1,0.0,1,0,0,0,2,0.0,African-American,Male,na
58,42,Trafficking In Methamphetamine,1,133.0,0,0,0,0,1,0.0,Caucasian,Male,na
59,43,Susp Drivers Lic 1st Offense,1,1.0,0,0,0,0,1,0.0,Caucasian,Male,na
61,54,"Poss3,4 Methylenedioxymethcath",1,1.0,0,0,0,0,0,0.0,African-American,Female,na
62,44,arrest case no charge,1,4296.0,0,0,0,0,8,0.0,African-American,Male,na
64,27,Carrying Concealed Firearm,1,1.0,1,0,0,0,8,0.0,African-American,Male,Felony Battery
65,27,Carrying Concealed Firearm,1,1.0,1,0,0,0,8,0.0,African-American,Male,Felony Battery
66,27,Carrying Concealed Firearm,1,1.0,1,0,0,0,8,0.0,African-American,Male,Felony Battery
67,27,Carrying Concealed Firearm,1,1.0,1,0,0,0,8,0.0,African-American,Male,Felony Battery
68,36,arrest case no charge,1,95.0,0,0,0,0,3,0.0,Caucasian,Female,na
69,36,arrest case no charge,1,95.0,0,0,0,0,3,0.0,Caucasian,Female,na
70,26,Pos Cannabis W/Intent Sel/Del,1,1.0,1,0,0,1,5,0.0,African-American,Male,na
71,26,Pos Cannabis W/Intent Sel/Del,1,1.0,1,0,0,1,5,0.0,African-American,Male,na
72,26,Pos Cannabis W/Intent Sel/Del,1,1.0,1,0,0,1,5,0.0,African-American,Male,na
73,33,Tampering With Physical Evidence,1,1.0,1,0,0,0,0,0.0,African-American,Male,Battery
74,33,Tampering With Physical Evidence,1,1.0,1,0,0,0,0,0.0,African-American,Male,Battery
75,30,Felony Battery w/Prior Convict,1,0.0,1,0,0,0,9,0.0,Caucasian,Male,na
76,30,Felony Battery w/Prior Convict,1,0.0,1,0,0,0,9,0.0,Caucasian,Male,na
77,32,Att Tamper w/Physical Evidence,1,1.0,1,0,0,0,4,1.0,African-American,Male,na
78,32,Att Tamper w/Physical Evidence,1,1.0,1,0,0,0,4,1.0,African-American,Male,na
79,63,Battery,1,1.0,0,0,0,0,0,0.0,African-American,Male,na
81,55,arrest case no charge,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
83,32,Felony Petit Theft,1,0.0,0,0,0,0,15,0.0,African-American,Male,na
84,38,Burglary Structure Assault/Batt,1,1.0,0,0,0,2,5,0.0,African-American,Male,na
85,38,Burglary Structure Assault/Batt,1,1.0,0,0,0,2,5,0.0,African-American,Male,na
86,38,Burglary Structure Assault/Batt,1,1.0,0,0,0,2,5,0.0,African-American,Male,na
87,53,Fel Drive License Perm Revoke,1,1.0,0,0,0,0,19,0.0,Caucasian,Male,na
88,53,Fel Drive License Perm Revoke,1,1.0,0,0,0,0,19,0.0,Caucasian,Male,na
92,26,Operating W/O Valid License,1,382.0,0,0,0,2,6,0.0,Caucasian,Male,na
93,26,Operating W/O Valid License,1,382.0,0,0,0,2,6,0.0,Caucasian,Male,na
94,26,Operating W/O Valid License,1,382.0,0,0,0,2,6,0.0,Caucasian,Male,na
95,33,Battery,1,1.0,1,0,0,0,4,57.0,Caucasian,Female,na
96,33,Battery,1,1.0,1,0,0,0,4,57.0,Caucasian,Female,na
97,33,Battery,1,1.0,1,0,0,0,4,57.0,Caucasian,Female,na
98,33,Battery,1,1.0,1,0,0,0,4,57.0,Caucasian,Female,na
99,24,Battery,1,0.0,1,0,0,0,1,0.0,Caucasian,Male,na
100,24,Battery,1,0.0,1,0,0,0,1,0.0,Caucasian,Male,na
101,34,Poss Wep Conv Felon,1,0.0,1,2,1,3,21,0.0,African-American,Male,na
102,34,Poss Wep Conv Felon,1,0.0,1,2,1,3,21,0.0,African-American,Male,na
103,34,Poss Wep Conv Felon,1,0.0,1,2,1,3,21,0.0,African-American,Male,na
104,34,Poss Wep Conv Felon,1,0.0,1,2,1,3,21,0.0,African-American,Male,na
105,29,Possess Cannabis/20 Grams Or Less,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
106,21,arrest case no charge,1,1.0,0,0,0,0,2,0.0,African-American,Female,na
107,21,arrest case no charge,1,1.0,0,0,0,0,2,0.0,African-American,Female,na
108,21,arrest case no charge,1,1.0,0,0,0,0,2,0.0,African-American,Female,na
109,21,arrest case no charge,1,1.0,0,0,0,0,2,0.0,African-American,Female,na
110,51,Unlaw Use False Name/Identity,1,1.0,0,0,0,0,2,0.0,African-American,Male,na
112,29,Viol Injunct Domestic Violence,1,1.0,1,0,0,0,2,0.0,Caucasian,Male,na
113,29,Viol Injunct Domestic Violence,1,1.0,1,0,0,0,2,0.0,Caucasian,Male,na
114,25,Burglary Unoccupied Dwelling,1,1.0,0,0,0,0,0,0.0,African-American,Male,na
115,25,Burglary Unoccupied Dwelling,1,1.0,0,0,0,0,0,0.0,African-American,Male,na
116,51,Possession of Cocaine,1,1.0,0,0,0,0,7,0.0,African-American,Female,na
117,51,Possession of Cocaine,1,1.0,0,0,0,0,7,0.0,African-American,Female,na
118,28,Possession of Cocaine,1,0.0,0,0,0,0,8,0.0,Caucasian,Male,na
119,36,Burglary Dwelling Occupied,1,1.0,0,0,0,0,22,0.0,African-American,Male,na
120,36,Burglary Dwelling Occupied,1,1.0,0,0,0,0,22,0.0,African-American,Male,na
121,29,Defrauding Innkeeper $300/More,1,0.0,1,0,0,0,0,1.0,African-American,Male,na
122,29,Defrauding Innkeeper $300/More,1,0.0,1,0,0,0,0,1.0,African-American,Male,na
123,29,Defrauding Innkeeper $300/More,1,0.0,1,0,0,0,0,1.0,African-American,Male,na
125,25,Battery,1,1.0,1,0,0,0,9,0.0,Caucasian,Male,Agg Battery Grt/Bod/Harm
126,35,Uttering a Forged Instrument,1,1.0,1,1,0,4,13,0.0,African-American,Male,DOC/Fighting/Threatening Words
127,49,DUI Level 0.15 Or Minor In Veh,1,0.0,0,0,0,0,0,0.0,Caucasian,Male,na
128,34,Driving License Suspended,1,59.0,1,0,0,0,4,0.0,African-American,Male,na
129,29,Tampering With Physical Evidence,1,1.0,0,0,0,0,0,0.0,African-American,Male,na
130,29,Possession of Oxycodone,1,24.0,1,0,0,0,1,0.0,Caucasian,Male,na
131,29,Possession of Oxycodone,1,24.0,1,0,0,0,1,0.0,Caucasian,Male,na
133,51,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
134,25,Possession of Cocaine,1,0.0,0,0,0,0,0,0.0,Caucasian,Male,na
135,48,arrest case no charge,1,562.0,1,0,0,0,20,0.0,Caucasian,Male,na
136,48,arrest case no charge,1,562.0,1,0,0,0,20,0.0,Caucasian,Male,na
137,48,arrest case no charge,1,562.0,1,0,0,0,20,0.0,Caucasian,Male,na
138,33,Grand Theft Dwell Property,1,0.0,0,0,0,0,1,0.0,Caucasian,Male,na
139,33,Grand Theft Dwell Property,1,0.0,0,0,0,0,1,0.0,Caucasian,Male,na
141,30,Possession of Cocaine,1,1.0,0,0,0,1,3,0.0,African-American,Male,na
142,31,Attempt Armed Burglary Dwell,1,1.0,1,0,0,1,15,0.0,African-American,Male,na
143,24,Poss Tetrahydrocannabinols,1,1.0,1,0,0,0,2,1.0,African-American,Male,na
144,24,Poss Tetrahydrocannabinols,1,1.0,1,0,0,0,2,1.0,African-American,Male,na
145,24,Poss Tetrahydrocannabinols,1,1.0,1,0,0,0,2,1.0,African-American,Male,na
146,27,Felony Driving While Lic Suspd,1,1.0,0,0,0,0,0,0.0,African-American,Male,na
147,32,Tampering With Physical Evidence,1,1.0,0,0,0,0,3,0.0,Caucasian,Male,na
149,49,Battery,1,1.0,0,0,0,0,4,0.0,African-American,Male,na
150,53,arrest case no charge,1,13.0,0,0,0,0,8,0.0,Caucasian,Male,na
152,35,Driving While License Revoked,1,1.0,0,0,0,0,5,0.0,African-American,Male,na
153,63,Possess Drug Paraphernalia,1,906.0,1,0,0,0,10,0.0,African-American,Male,na
154,33,Agg Battery Grt/Bod/Harm,1,1.0,0,0,0,0,2,0.0,African-American,Male,na
155,27,Driving While License Revoked,1,1.0,1,1,1,2,15,0.0,African-American,Male,na
156,27,Driving While License Revoked,1,1.0,1,1,1,2,15,0.0,African-American,Male,na
157,27,Driving While License Revoked,1,1.0,1,1,1,2,15,0.0,African-American,Male,na
158,38,Battery,1,1.0,1,0,0,0,4,0.0,Caucasian,Male,na
159,46,Grand Theft in the 3rd Degree,1,1.0,0,3,1,0,9,0.0,Caucasian,Male,na
160,46,Grand Theft in the 3rd Degree,1,1.0,0,3,1,0,9,0.0,Caucasian,Male,na
161,22,Poss Firearm W/Altered ID#,1,1.0,1,0,0,1,1,0.0,African-American,Male,na
162,34,Battery,1,0.0,0,0,0,0,0,0.0,Caucasian,Female,na
163,22,Sell Conterfeit Cont Substance,1,114.0,1,0,1,2,2,0.0,African-American,Male,na
164,22,Sell Conterfeit Cont Substance,1,114.0,1,0,1,2,2,0.0,African-American,Male,na
165,22,Sell Conterfeit Cont Substance,1,114.0,1,0,1,2,2,0.0,African-American,Male,na
166,29,arrest case no charge,1,1.0,1,0,0,0,4,0.0,African-American,Male,na
167,29,arrest case no charge,1,1.0,1,0,0,0,4,0.0,African-American,Male,na
168,29,arrest case no charge,1,1.0,1,0,0,0,4,0.0,African-American,Male,na
169,29,arrest case no charge,1,1.0,1,0,0,0,4,0.0,African-American,Male,na
171,27,Aggravated Battery / Pregnant,1,0.0,1,0,1,0,6,0.0,African-American,Male,na
172,27,Aggravated Battery / Pregnant,1,0.0,1,0,1,0,6,0.0,African-American,Male,na
173,27,Aggravated Battery / Pregnant,1,0.0,1,0,1,0,6,0.0,African-American,Male,na
175,56,Battery,1,1.0,0,0,0,0,0,0.0,African-American,Female,na
179,31,Felony Driving While Lic Suspd,1,1.0,0,0,0,0,2,0.0,Caucasian,Female,na
180,34,False Imprisonment,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
181,39,arrest case no charge,1,1.0,0,0,0,0,1,0.0,African-American,Male,na
182,24,Battery,1,1.0,0,0,1,0,4,0.0,African-American,Male,na
183,29,False Name By Person Arrest,1,0.0,1,0,0,0,5,0.0,African-American,Male,na
184,29,False Name By Person Arrest,1,0.0,1,0,0,0,5,0.0,African-American,Male,na
185,29,False Name By Person Arrest,1,0.0,1,0,0,0,5,0.0,African-American,Male,na
186,29,False Name By Person Arrest,1,0.0,1,0,0,0,5,0.0,African-American,Male,na
187,29,False Name By Person Arrest,1,0.0,1,0,0,0,5,0.0,African-American,Male,na
188,27,arrest case no charge,1,1.0,1,0,0,1,1,0.0,Caucasian,Male,na
189,27,arrest case no charge,1,1.0,1,0,0,1,1,0.0,Caucasian,Male,na
190,27,arrest case no charge,1,1.0,1,0,0,1,1,0.0,Caucasian,Male,na
191,27,arrest case no charge,1,1.0,1,0,0,1,1,0.0,Caucasian,Male,na
194,40,arrest case no charge,1,15.0,0,0,0,0,2,0.0,African-American,Male,na
195,51,arrest case no charge,1,78.0,0,0,0,0,1,0.0,African-American,Male,na
196,51,arrest case no charge,1,78.0,0,0,0,0,1,0.0,African-American,Male,na
197,22,Battery,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
198,22,Battery,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
199,22,Battery,1,1.0,1,0,0,0,1,0.0,African-American,Male,na
200,22,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
201,22,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
202,22,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
203,22,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
204,22,Grand Theft in the 3rd Degree,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
205,26,Poss Cocaine/Intent To Del/Sel,1,1.0,1,0,0,0,1,0.0,African-American,Female,Child Abuse
206,27,Burglary Dwelling Assault/Batt,1,44.0,1,0,0,0,1,24.0,Caucasian,Male,Felony Battery w/Prior Convict
207,59,arrest case no charge,1,67.0,0,0,0,0,2,0.0,African-American,Female,na
208,32,Driving Under The Influence,1,711.0,0,0,0,0,3,0.0,Caucasian,Male,na
209,32,Felony Battery (Dom Strang),1,1.0,0,0,0,0,0,0.0,African-American,Male,na
210,41,arrest case no charge,1,5185.0,0,0,0,0,1,0.0,African-American,Male,na
211,50,Battery,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
212,30,Possess Cannabis/20 Grams Or Less,1,1.0,1,0,0,0,8,0.0,African-American,Male,Battery on a Person Over 65
213,30,Possess Cannabis/20 Grams Or Less,1,1.0,1,0,0,0,8,0.0,African-American,Male,Battery on a Person Over 65
214,30,Possess Cannabis/20 Grams Or Less,1,1.0,1,0,0,0,8,0.0,African-American,Male,Battery on a Person Over 65
215,66,arrest case no charge,1,1372.0,0,0,0,0,0,0.0,African-American,Male,na
216,52,Driving While License Revoked,1,1.0,0,0,0,0,3,0.0,African-American,Male,na
218,22,Burglary Conveyance Unoccup,1,7.0,0,0,0,0,3,0.0,Caucasian,Male,na
221,25,arrest case no charge,1,1.0,1,1,6,1,14,0.0,African-American,Male,Battery
222,25,arrest case no charge,1,1.0,1,1,6,1,14,0.0,African-American,Male,Battery
223,25,arrest case no charge,1,1.0,1,1,6,1,14,0.0,African-American,Male,Battery
224,25,arrest case no charge,1,1.0,1,1,6,1,14,0.0,African-American,Male,Battery
225,25,arrest case no charge,1,1.0,1,1,6,1,14,0.0,African-American,Male,Battery
228,22,Attempted Burg/struct/unocc,1,0.0,1,1,0,0,2,1.0,African-American,Male,na
229,22,Attempted Burg/struct/unocc,1,0.0,1,1,0,0,2,1.0,African-American,Male,na
230,22,Attempted Burg/struct/unocc,1,0.0,1,1,0,0,2,1.0,African-American,Male,na
231,23,arrest case no charge,1,192.0,1,0,0,1,2,0.0,African-American,Male,na
232,23,arrest case no charge,1,192.0,1,0,0,1,2,0.0,African-American,Male,na
233,54,arrest case no charge,1,864.0,0,0,0,0,6,0.0,African-American,Male,na
234,54,arrest case no charge,1,864.0,0,0,0,0,6,0.0,African-American,Male,na
235,40,arrest case no charge,1,1.0,0,0,0,0,4,0.0,Caucasian,Male,na
236,40,arrest case no charge,1,1.0,0,0,0,0,4,0.0,Caucasian,Male,na
237,25,arrest case no charge,1,138.0,0,0,0,0,10,0.0,African-American,Male,na
238,25,arrest case no charge,1,138.0,0,0,0,0,10,0.0,African-American,Male,na
239,35,arrest case no charge,1,1.0,0,0,0,0,1,0.0,African-American,Female,na
240,36,Deliver Cocaine,1,1.0,1,0,0,0,9,1.0,African-American,Male,na
241,36,Deliver Cocaine,1,1.0,1,0,0,0,9,1.0,African-American,Male,na
242,26,Possession Burglary Tools,1,1.0,1,0,0,0,7,1.0,Caucasian,Male,na
243,26,Possession Burglary Tools,1,1.0,1,0,0,0,7,1.0,Caucasian,Male,na
244,26,Possession Burglary Tools,1,1.0,1,0,0,0,7,1.0,Caucasian,Male,na
251,30,Burglary Conveyance Unoccup,1,1.0,0,0,0,1,6,0.0,Caucasian,Male,na
252,25,Pos Cannabis W/Intent Sel/Del,1,1.0,1,0,0,0,9,0.0,Caucasian,Male,Battery
253,25,Pos Cannabis W/Intent Sel/Del,1,1.0,1,0,0,0,9,0.0,Caucasian,Male,Battery
254,71,Possess Cannabis/20 Grams Or Less,1,804.0,0,0,0,0,12,0.0,African-American,Male,na
255,34,Battery,1,21.0,0,0,0,0,3,0.0,African-American,Male,na
256,20,"Poss3,4 Methylenedioxymethcath",1,1.0,0,0,0,0,0,0.0,Caucasian,Female,na
257,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
258,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
259,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
260,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
261,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
262,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
263,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
264,39,Possession Of Alprazolam,1,3.0,1,0,0,0,2,0.0,Caucasian,Male,na
265,66,Flee/Elude LEO-Agg Flee Unsafe,1,64.0,0,0,0,0,3,0.0,Caucasian,Male,na
266,54,DUI Level 0.15 Or Minor In Veh,1,1.0,0,0,0,0,0,0.0,Caucasian,Female,na
269,19,Battery,1,10.0,1,0,0,0,1,0.0,African-American,Male,Battery on Law Enforc Officer
270,24,arrest case no charge,1,137.0,0,0,0,0,1,0.0,African-American,Male,na
271,24,arrest case no charge,1,137.0,0,0,0,0,1,0.0,African-American,Male,na
272,30,Fail To Redeliv Hire/Leas Prop,1,1.0,0,0,0,0,1,0.0,African-American,Male,na
273,39,Aggravated Assault W/Dead Weap,1,1.0,1,0,0,0,0,1.0,Caucasian,Female,Battery
274,32,Battery,1,1.0,0,0,0,0,8,0.0,African-American,Female,na
275,24,False Ownership Info/Pawn Item,1,0.0,1,0,1,2,8,1.0,Caucasian,Male,na
276,24,False Ownership Info/Pawn Item,1,0.0,1,0,1,2,8,1.0,Caucasian,Male,na
277,24,False Ownership Info/Pawn Item,1,0.0,1,0,1,2,8,1.0,Caucasian,Male,na
278,24,False Ownership Info/Pawn Item,1,0.0,1,0,1,2,8,1.0,Caucasian,Male,na
279,24,False Ownership Info/Pawn Item,1,0.0,1,0,1,2,8,1.0,Caucasian,Male,na
280,30,Possession Of Methamphetamine,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
281,30,Possession Of Methamphetamine,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
282,30,Possession Of Methamphetamine,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
283,31,Battery,1,1.0,0,0,0,0,0,0.0,Caucasian,Male,na
284,39,Possession of Morphine,1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
285,39,Possession of Morphine,1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
286,39,Possession of Morphine,1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
287,39,Possession of Morphine,1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
288,39,Possession of Morphine,1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
289,59,arrest case no charge,1,265.0,1,0,0,0,14,0.0,African-American,Male,Aggravated Assault W/Dead Weap
290,35,Felony Driving While Lic Suspd,1,0.0,0,0,0,0,7,0.0,Caucasian,Male,na
291,35,Felony Driving While Lic Suspd,1,0.0,0,0,0,0,7,0.0,Caucasian,Male,na
293,43,Possession of Cocaine,1,30.0,0,0,0,0,1,0.0,Caucasian,Male,na
294,21,Tampering With Physical Evidence,1,1.0,0,1,0,1,2,0.0,African-American,Male,na
295,21,Tampering With Physical Evidence,1,1.0,0,1,0,1,2,0.0,African-American,Male,na
296,21,Tampering With Physical Evidence,1,1.0,0,1,0,1,2,0.0,African-American,Male,na
297,21,Tampering With Physical Evidence,1,1.0,0,1,0,1,2,0.0,African-American,Male,na
298,21,Tampering With Physical Evidence,1,1.0,0,1,0,1,2,0.0,African-American,Male,na
299,21,Tampering With Physical Evidence,1,1.0,0,1,0,1,2,0.0,African-American,Male,na
300,21,Battery,1,1.0,0,0,0,0,0,0.0,African-American,Female,na
301,21,Grand Theft in the 3rd Degree,1,1.0,1,0,0,0,3,0.0,African-American,Male,na
302,21,Grand Theft in the 3rd Degree,1,1.0,1,0,0,0,3,0.0,African-American,Male,na
303,21,Grand Theft in the 3rd Degree,1,1.0,1,0,0,0,3,0.0,African-American,Male,na
304,21,Grand Theft in the 3rd Degree,1,1.0,1,0,0,0,3,0.0,African-American,Male,na
305,21,Grand Theft in the 3rd Degree,1,1.0,1,0,0,0,3,0.0,African-American,Male,na
306,27,Driving While License Revoked,1,1.0,0,0,0,0,0,0.0,African-American,Male,na
307,20,arrest case no charge,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
308,20,arrest case no charge,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
309,20,arrest case no charge,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
310,20,arrest case no charge,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
311,20,arrest case no charge,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
312,20,arrest case no charge,1,0.0,0,0,0,0,0,0.0,African-American,Male,na
313,38,Possess Cannabis/20 Grams Or Less,1,1.0,1,0,0,0,5,0.0,Caucasian,Male,na
314,38,Possess Cannabis/20 Grams Or Less,1,1.0,1,0,0,0,5,0.0,Caucasian,Male,na
315,27,Robbery / No Weapon,1,2.0,0,0,0,0,3,0.0,African-American,Male,na
316,27,Robbery / No Weapon,1,2.0,0,0,0,0,3,0.0,African-American,Male,na
317,34,Aggravated Assault w/Firearm,1,0.0,0,0,0,0,0,0.0,Caucasian,Male,na
318,34,Aggravated Assault w/Firearm,1,0.0,0,0,0,0,0,0.0,Caucasian,Male,na
319,30,Possession of Cocaine,1,0.0,0,0,0,0,3,0.0,African-American,Male,na
320,33,Poss Contr Subst W/o Prescript,1,1.0,1,0,0,0,5,0.0,African-American,Male,na
321,37,"Poss3,4 Methylenedioxymethcath",1,0.0,0,0,0,0,3,0.0,African-American,Male,na
322,37,"Poss3,4 Methylenedioxymethcath",1,0.0,0,0,0,0,3,0.0,African-American,Male,na
323,42,Aggrav Stalking After Injunctn,1,1.0,1,0,0,0,1,1.0,Caucasian,Male,na
324,42,Aggrav Stalking After Injunctn,1,1.0,1,0,0,0,1,1.0,Caucasian,Male,na
325,42,Aggrav Stalking After Injunctn,1,1.0,1,0,0,0,1,1.0,Caucasian,Male,na
326,41,Possession of Cocaine,1,0.0,1,0,1,0,10,0.0,African-American,Male,na
327,41,Possession of Cocaine,1,0.0,1,0,1,0,10,0.0,African-American,Male,na
328,22,Uttering a Forged Instrument,1,1.0,1,0,0,0,0,362.0,African-American,Male,na
329,22,Uttering a Forged Instrument,1,1.0,1,0,0,0,0,362.0,African-American,Male,na
330,33,Driving While License Revoked,1,1.0,1,0,12,2,28,0.0,African-American,Male,na
331,33,Driving While License Revoked,1,1.0,1,0,12,2,28,0.0,African-American,Male,na
332,33,Driving While License Revoked,1,1.0,1,0,12,2,28,0.0,African-American,Male,na
333,44,Criminal Mischief Damage <$200,1,3.0,0,0,0,0,0,0.0,Caucasian,Male,na
334,31,Battery,1,1.0,0,0,0,0,1,0.0,African-American,Male,na
335,26,Felony Driving While Lic Suspd,1,0.0,0,0,0,0,9,0.0,African-American,Male,na
336,26,Felony Driving While Lic Suspd,1,0.0,0,0,0,0,9,0.0,African-American,Male,na
340,31,arrest case no charge,1,0.0,1,0,0,0,13,0.0,Caucasian,Male,Battery
341,27,Possession of Cocaine,1,1.0,1,0,0,0,3,0.0,African-American,Male,na
342,31,Grand Theft (Motor Vehicle),1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
343,31,Grand Theft (Motor Vehicle),1,1.0,0,0,0,0,1,0.0,Caucasian,Female,na
